"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"6/8/2023","6/8/2023","6/8/2023","AMAM","ADR Fee: R/D 2023-05-25 P/D 2023-06-08 - 100.000000 shares at 0.02","AFEE","","","($2.00)"
"6/8/2023","6/8/2023","6/9/2023","NIO","NIO 6/9/2023 Call $8.00","BTO","1","$0.30","($30.00)"
"6/8/2023","6/8/2023","6/9/2023","NIO","NIO 6/9/2023 Call $8.00","BTO","14","$0.30","($420.00)"
"6/7/2023","6/7/2023","6/8/2023","UVXY","UVXY 9/15/2023 Call $3.00","BTO","2","$0.39","($78.00)"
"6/6/2023","6/6/2023","6/7/2023","GTLB","GTLB 6/9/2023 Call $40.00","STC","1","$4.60","$459.98"
"6/5/2023","6/5/2023","6/6/2023","GTLB","GTLB 6/9/2023 Call $40.00","BTO","1","$1.10","($110.00)"
"6/2/2023","6/2/2023","6/5/2023","CHWY","Option Expiration for CHWY 6/2/2023 Put $23.00","OEXP","50S","",""
"6/1/2023","6/1/2023","6/1/2023","TRKA","Troika Media Group
CUSIP: 89689F404","SPR","8","",""
"6/1/2023","6/1/2023","6/1/2023","TRKA","Troika Media Group
CUSIP: 89689F305","SPR","200S","",""
"5/31/2023","5/31/2023","5/31/2023","","Interest Payment","INT","","","$68.23"
"5/31/2023","5/31/2023","6/1/2023","CHWY","CHWY 6/2/2023 Put $23.00","BTO","6","$0.08","($48.00)"
"5/31/2023","5/31/2023","6/1/2023","CHWY","CHWY 6/2/2023 Put $23.00","BTO","44","$0.08","($352.00)"
"5/15/2023","5/15/2023","5/15/2023","","Gold Fee","GOLD","","","($5.00)"
"5/12/2023","5/12/2023","5/15/2023","SHOP","Option Expiration for SHOP 5/12/2023 Put $60.00","OEXP","35S","",""
"5/9/2023","5/9/2023","5/10/2023","SHOP","SHOP 5/12/2023 Put $60.00","BTO","4","$0.25","($100.00)"
"5/9/2023","5/9/2023","5/10/2023","SHOP","SHOP 5/12/2023 Put $60.00","BTO","5","$0.25","($125.00)"
"5/9/2023","5/9/2023","5/10/2023","SHOP","SHOP 5/12/2023 Put $60.00","BTO","1","$0.25","($25.00)"
"5/9/2023","5/9/2023","5/10/2023","SHOP","SHOP 5/12/2023 Put $60.00","BTO","1","$0.39","($39.00)"
"5/9/2023","5/9/2023","5/10/2023","SHOP","SHOP 5/12/2023 Put $60.00","BTO","16","$0.39","($624.00)"
"5/9/2023","5/9/2023","5/10/2023","SHOP","SHOP 5/12/2023 Put $60.00","BTO","8","$0.39","($312.00)"
"5/5/2023","5/5/2023","5/8/2023","QCOM","Option Expiration for QCOM 5/5/2023 Put $95.00","OEXP","30S","",""
"5/5/2023","5/5/2023","5/8/2023","QCOM","Option Expiration for QCOM 5/5/2023 Put $100.00","OEXP","2S","",""
"5/5/2023","5/5/2023","5/8/2023","SNAP","Option Expiration for SNAP 5/5/2023 Call $15.00","OEXP","10S","",""
"5/5/2023","5/5/2023","5/8/2023","DB","DB 7/21/2023 Put $10.00","BTO","4","$0.75","($300.00)"
"5/5/2023","5/5/2023","5/8/2023","DB","DB 7/21/2023 Put $10.00","BTO","5","$0.75","($375.00)"
"5/5/2023","5/5/2023","5/8/2023","DB","DB 7/21/2023 Put $10.00","BTO","1","$0.75","($75.00)"
"5/4/2023","5/4/2023","5/5/2023","QCOM","QCOM 5/5/2023 Put $95.00","STC","10","$0.03","$29.97"
"5/4/2023","5/4/2023","5/5/2023","QCOM","QCOM 5/5/2023 Put $95.00","STC","2","$0.03","$5.98"
"5/4/2023","5/4/2023","5/5/2023","QCOM","QCOM 5/5/2023 Put $95.00","STC","2","$0.03","$5.98"
"5/4/2023","5/4/2023","5/5/2023","QCOM","QCOM 5/5/2023 Put $100.00","STC","1","$0.26","$25.98"
"5/4/2023","5/4/2023","5/5/2023","QCOM","QCOM 5/5/2023 Put $100.00","STC","1","$0.26","$25.98"
"5/4/2023","5/4/2023","5/5/2023","QCOM","QCOM 5/5/2023 Put $100.00","STC","1","$0.26","$25.98"
"5/4/2023","5/4/2023","5/5/2023","QCOM","QCOM 5/5/2023 Put $95.00","STC","5","$0.04","$19.98"
"5/4/2023","5/4/2023","5/5/2023","QCOM","QCOM 5/5/2023 Put $110.00","STC","1","$6.05","$604.98"
"5/4/2023","5/4/2023","5/5/2023","QCOM","QCOM 5/5/2023 Put $100.00","STC","20","$0.40","$799.94"
"5/3/2023","5/3/2023","5/4/2023","QCOM","QCOM 5/5/2023 Put $95.00","BTO","4","$0.03","($12.00)"
"5/3/2023","5/3/2023","5/4/2023","QCOM","QCOM 5/5/2023 Put $95.00","BTO","20","$0.03","($60.00)"
"5/3/2023","5/3/2023","5/4/2023","QCOM","QCOM 5/5/2023 Put $95.00","BTO","1","$0.04","($4.00)"
"5/3/2023","5/3/2023","5/4/2023","QCOM","QCOM 5/5/2023 Put $95.00","BTO","5","$0.04","($20.00)"
"5/3/2023","5/3/2023","5/4/2023","QCOM","QCOM 5/5/2023 Put $95.00","BTO","1","$0.04","($4.00)"
"5/3/2023","5/3/2023","5/4/2023","QCOM","QCOM 5/5/2023 Put $95.00","BTO","4","$0.04","($16.00)"
"5/3/2023","5/3/2023","5/4/2023","QCOM","QCOM 5/5/2023 Put $95.00","BTO","1","$0.04","($4.00)"
"5/3/2023","5/3/2023","5/4/2023","QCOM","QCOM 5/5/2023 Put $95.00","BTO","1","$0.04","($4.00)"
"5/3/2023","5/3/2023","5/4/2023","QCOM","QCOM 5/5/2023 Put $95.00","BTO","1","$0.04","($4.00)"
"5/3/2023","5/3/2023","5/4/2023","QCOM","QCOM 5/5/2023 Put $95.00","BTO","10","$0.04","($40.00)"
"5/3/2023","5/3/2023","5/4/2023","QCOM","QCOM 5/5/2023 Put $95.00","BTO","1","$0.03","($3.00)"
"5/3/2023","5/3/2023","5/4/2023","QCOM","QCOM 5/5/2023 Put $110.00","BTO","1","$1.30","($130.00)"
"5/2/2023","5/2/2023","5/3/2023","QCOM","QCOM 5/5/2023 Put $100.00","STC","25","$0.20","$499.93"
"5/2/2023","5/2/2023","5/3/2023","QCOM","QCOM 5/5/2023 Put $100.00","BTO","12","$0.12","($144.00)"
"5/2/2023","5/2/2023","5/3/2023","QCOM","QCOM 5/5/2023 Put $100.00","BTO","1","$0.12","($12.00)"
"5/2/2023","5/2/2023","5/3/2023","QCOM","QCOM 5/5/2023 Put $100.00","BTO","7","$0.12","($84.00)"
"5/2/2023","5/2/2023","5/3/2023","QCOM","QCOM 5/5/2023 Put $100.00","BTO","2","$0.12","($24.00)"
"5/2/2023","5/2/2023","5/3/2023","QCOM","QCOM 5/5/2023 Put $100.00","BTO","1","$0.12","($12.00)"
"5/2/2023","5/2/2023","5/3/2023","QCOM","QCOM 5/5/2023 Put $100.00","BTO","1","$0.12","($12.00)"
"5/2/2023","5/2/2023","5/3/2023","QCOM","QCOM 5/5/2023 Put $100.00","BTO","2","$0.12","($24.00)"
"5/2/2023","5/2/2023","5/3/2023","QCOM","QCOM 5/5/2023 Put $100.00","BTO","5","$0.12","($60.00)"
"5/2/2023","5/2/2023","5/3/2023","QCOM","QCOM 5/5/2023 Put $100.00","BTO","1","$0.12","($12.00)"
"5/2/2023","5/2/2023","5/3/2023","QCOM","QCOM 5/5/2023 Put $100.00","BTO","4","$0.12","($48.00)"
"5/2/2023","5/2/2023","5/3/2023","QCOM","QCOM 5/5/2023 Put $100.00","BTO","14","$0.12","($168.00)"
"4/28/2023","4/28/2023","5/1/2023","MSFT","Option Expiration for MSFT 4/28/2023 Put $240.00","OEXP","44S","",""
"4/28/2023","4/28/2023","4/28/2023","","Interest Payment","INT","","","$66.24"
"4/27/2023","4/27/2023","4/28/2023","SNAP","SNAP 5/5/2023 Call $15.00","BTO","10","$0.09","($90.00)"
"4/25/2023","4/25/2023","4/26/2023","MSFT","MSFT 4/28/2023 Put $240.00","BTO","4","$0.05","($20.00)"
"4/25/2023","4/25/2023","4/26/2023","MSFT","MSFT 4/28/2023 Put $240.00","BTO","20","$0.05","($100.00)"
"4/25/2023","4/25/2023","4/26/2023","MSFT","MSFT 4/28/2023 Put $240.00","BTO","6","$0.05","($30.00)"
"4/25/2023","4/25/2023","4/26/2023","MSFT","MSFT 4/28/2023 Put $240.00","BTO","1","$0.05","($5.00)"
"4/25/2023","4/25/2023","4/26/2023","MSFT","MSFT 4/28/2023 Put $240.00","BTO","10","$0.05","($50.00)"
"4/25/2023","4/25/2023","4/26/2023","MSFT","MSFT 4/28/2023 Put $240.00","BTO","1","$0.05","($5.00)"
"4/25/2023","4/25/2023","4/26/2023","MSFT","MSFT 4/28/2023 Put $240.00","BTO","2","$0.05","($10.00)"
"4/21/2023","4/21/2023","4/24/2023","NVDA","Option Expiration for NVDA 4/21/2023 Put $250.00","OEXP","2S","",""
"4/18/2023","4/18/2023","4/18/2023","","Transfer from Brokerage to Spending","XENT","","","($500.00)"
"4/13/2023","4/13/2023","4/13/2023","","Gold Fee","GOLD","","","($5.00)"
"3/31/2023","3/31/2023","3/31/2023","","Interest Payment","INT","","","$49.89"
"3/27/2023","3/27/2023","3/27/2023","","Interest Payment","INT","","","$20.32"
"3/24/2023","3/24/2023","3/27/2023","TSLA","Option Expiration for TSLA 3/24/2023 Call $200.00","OEXP","1S","",""
"3/24/2023","3/24/2023","3/27/2023","LULU","Option Expiration for LULU 3/24/2023 Put $270.00","OEXP","3S","",""
"3/24/2023","3/24/2023","3/27/2023","PLTR","Option Expiration for PLTR 3/24/2023 Call $8.50","OEXP","15S","",""
"3/24/2023","3/24/2023","3/27/2023","NVDA","NVDA 4/21/2023 Put $250.00","BTO","1","$7.30","($730.00)"
"3/24/2023","3/24/2023","3/27/2023","NVDA","NVDA 4/21/2023 Put $250.00","BTO","1","$7.98","($798.00)"
"3/23/2023","3/23/2023","3/24/2023","SPY","Option Expiration for SPY 3/23/2023 Call $410.00","OEXP","2S","",""
"3/22/2023","3/22/2023","3/23/2023","PLTR","PLTR 3/24/2023 Call $8.50","STC","10","$0.17","$169.97"
"3/22/2023","3/22/2023","3/23/2023","SPY","SPY 3/23/2023 Call $410.00","BTO","2","$0.25","($50.00)"
"3/22/2023","3/22/2023","3/23/2023","PLTR","PLTR 3/24/2023 Call $8.50","STC","25","$0.19","$474.93"
"3/22/2023","3/22/2023","3/23/2023","GME","GME 3/24/2023 Call $20.00","STC","1","$6.20","$619.98"
"3/21/2023","3/21/2023","3/22/2023","GME","GME 3/24/2023 Call $20.00","BTO","1","$0.46","($46.00)"
"3/21/2023","3/21/2023","3/22/2023","TSLA","TSLA 3/24/2023 Call $200.00","STC","1","$3.90","$389.98"
"3/21/2023","3/21/2023","3/22/2023","PLTR","PLTR 3/24/2023 Call $8.50","BTO","44","$0.11","($484.00)"
"3/21/2023","3/21/2023","3/22/2023","PLTR","PLTR 3/24/2023 Call $8.50","BTO","6","$0.11","($66.00)"
"3/16/2023","3/16/2023","3/17/2023","TSLA","TSLA 3/24/2023 Call $200.00","BTO","1","$1.65","($165.00)"
"3/16/2023","3/16/2023","3/17/2023","TSLA","TSLA 3/24/2023 Call $200.00","BTO","1","$1.65","($165.00)"
"3/16/2023","3/16/2023","3/17/2023","LULU","LULU 3/24/2023 Put $270.00","BTO","1","$1.13","($113.00)"
"3/16/2023","3/16/2023","3/17/2023","LULU","LULU 3/24/2023 Put $270.00","BTO","1","$1.13","($113.00)"
"3/16/2023","3/16/2023","3/17/2023","LULU","LULU 3/24/2023 Put $270.00","BTO","1","$1.13","($113.00)"
"3/14/2023","3/14/2023","3/14/2023","","Gold Fee","GOLD","","","($5.00)"
"3/10/2023","3/10/2023","3/13/2023","SPY","Option Expiration for SPY 3/10/2023 Call $405.00","OEXP","6S","",""
"3/10/2023","3/10/2023","3/13/2023","BBBY","Option Expiration for BBBY 3/10/2023 Call $1.50","OEXP","200S","",""
"3/9/2023","3/9/2023","3/10/2023","BBBY","BBBY 3/10/2023 Call $1.50","BTO","126","$0.02","($252.00)"
"3/9/2023","3/9/2023","3/10/2023","BBBY","BBBY 3/10/2023 Call $1.50","BTO","74","$0.02","($148.00)"
"3/7/2023","3/7/2023","3/8/2023","SPY","SPY 3/10/2023 Call $405.00","BTO","3","$0.93","($279.00)"
"3/7/2023","3/7/2023","3/8/2023","SPY","SPY 3/10/2023 Call $405.00","BTO","3","$1.28","($384.00)"
"3/3/2023","3/3/2023","3/6/2023","COST","Option Expiration for COST 3/3/2023 Put $450.00","OEXP","1S","",""
"3/3/2023","3/3/2023","3/6/2023","AMZN","Option Expiration for AMZN 3/3/2023 Put $90.00","OEXP","1S","",""
"3/3/2023","3/3/2023","3/7/2023","TRKA","Troika Media Group
CUSIP: 89689F305","Buy","200","$0.51","($101.90)"
"3/3/2023","3/3/2023","3/6/2023","COST","COST 3/3/2023 Put $450.00","STC","6","$0.03","$17.98"
"3/3/2023","3/3/2023","3/6/2023","COST","COST 3/3/2023 Put $450.00","STC","1","$0.03","$2.98"
"3/2/2023","3/2/2023","3/3/2023","COST","COST 3/3/2023 Put $450.00","BTO","1","$0.62","($62.00)"
"3/2/2023","3/2/2023","3/3/2023","COST","COST 3/3/2023 Put $450.00","BTO","1","$0.62","($62.00)"
"3/2/2023","3/2/2023","3/3/2023","COST","COST 3/3/2023 Put $450.00","BTO","1","$0.62","($62.00)"
"3/2/2023","3/2/2023","3/3/2023","COIN","COIN 3/3/2023 Put $59.00","STC","1","$0.97","$96.98"
"3/2/2023","3/2/2023","3/3/2023","COST","COST 3/3/2023 Put $450.00","BTO","1","$0.65","($65.00)"
"3/2/2023","3/2/2023","3/3/2023","AMZN","AMZN 3/3/2023 Put $90.00","STC","4","$0.53","$211.98"
"3/2/2023","3/2/2023","3/3/2023","COIN","COIN 3/3/2023 Put $59.00","STC","1","$1.90","$189.98"
"3/2/2023","3/2/2023","3/3/2023","COIN","COIN 3/3/2023 Put $59.00","STC","1","$0.86","$85.98"
"3/2/2023","3/2/2023","3/3/2023","COIN","COIN 3/3/2023 Put $59.00","STC","2","$0.86","$171.98"
"3/2/2023","3/2/2023","3/3/2023","AMZN","AMZN 3/3/2023 Put $90.00","STC","2","$0.48","$95.98"
"3/2/2023","3/2/2023","3/3/2023","AMZN","AMZN 3/3/2023 Put $90.00","STC","3","$0.48","$143.98"
"3/2/2023","3/2/2023","3/3/2023","AMZN","AMZN 3/3/2023 Put $90.00","STC","5","$0.51","$254.98"
"3/1/2023","3/1/2023","3/2/2023","COIN","COIN 3/3/2023 Put $59.00","BTO","1","$0.51","($51.00)"
"3/1/2023","3/1/2023","3/2/2023","COIN","COIN 3/3/2023 Put $59.00","BTO","2","$0.51","($102.00)"
"3/1/2023","3/1/2023","3/2/2023","COIN","COIN 3/3/2023 Put $59.00","BTO","1","$0.51","($51.00)"
"3/1/2023","3/1/2023","3/2/2023","COIN","COIN 3/3/2023 Put $59.00","BTO","1","$0.51","($51.00)"
"3/1/2023","3/1/2023","3/2/2023","AMZN","AMZN 3/3/2023 Put $90.00","STC","4","$0.45","$179.98"
"3/1/2023","3/1/2023","3/2/2023","AMZN","AMZN 3/3/2023 Put $90.00","STC","2","$0.45","$89.98"
"3/1/2023","3/1/2023","3/2/2023","AMZN","AMZN 3/3/2023 Put $90.00","STC","2","$0.45","$89.98"
"3/1/2023","3/1/2023","3/2/2023","AMZN","AMZN 3/3/2023 Put $90.00","STC","2","$0.45","$89.98"
"2/28/2023","2/28/2023","2/28/2023","","Interest Payment","INT","","","$53.95"
"2/27/2023","2/27/2023","2/28/2023","AMZN","AMZN 3/3/2023 Put $90.00","BTO","25","$0.42","($1,050.00)"
"2/27/2023","2/27/2023","2/28/2023","COST","COST 3/3/2023 Put $450.00","BTO","3","$0.78","($234.00)"
"2/27/2023","2/27/2023","2/28/2023","COST","COST 3/3/2023 Put $450.00","BTO","1","$0.74","($74.00)"
"2/24/2023","2/24/2023","2/27/2023","AMD","Option Expiration for AMD 2/24/2023 Put $70.00","OEXP","100S","",""
